ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
1,0,1,0.73060125,0.265497042,0,1,3.996098292,6.504249854,26.43891887,253.9999981,1.48794673,-1.3789393,-1.192284609,0.000801075,0.051269168,1
1,0,0.738343259,0.40672804,0.265182326,0,0.097897937,2.508151562,3.773659293,26.0489664,252.7203136,1.242643831,0.162473219,0.023151464,0.000811733,0.05090221,1
1,0,0,0,0.265507731,0,0,1.265507731,4.315773328,26.383473,254.8349714,-1.784757866,1.273660769,1.142102173,0.000634918,0.050248885,1
1,0,0.972648939,0.665146177,0.265399511,0,0.14707097,3.050265597,5.316037376,26.63378741,262.394482,0.784493818,-0.312739498,-0.619982322,0.001112685,0.049632327,1
1,0,0,0,0.265771779,0,1,2.265771779,6.529199014,27.89849878,272.4826542,-1.997655456,0.323459604,0.286627139,0.072623825,0.048775502,1
1,0,1,1,0.265384632,0,0.998042603,4.263427235,6.114297391,26.91224823,279.4881508,2.412557079,-1.272958862,-1.510431357,0.070888498,0.048002597,1
1,0,0.335844943,0.1205473,0.265368636,0,0.129109277,1.850870156,4.108165886,23.3401629,285.6583213,-0.406425574,0.541111116,0.603282231,0.06864518,0.046941945,1
1,0,0,0,0.266023953,0,0.991271777,2.25729573,4.566087743,21.99545879,292.6941302,-0.051496283,0.018755578,0.438930591,0.065728979,0.04559148,1
0,1,0,0,0.308792013,1,0,2.308792013,6.580748745,23.19303453,296.5277565,-1.963164719,-0.185751562,0.588825907,0.054306434,0.038300464,0
1,0,1,1,0.271956732,0,1,4.271956732,5.542948461,25.15544919,296.3838178,3.000965003,-1.756390278,-1.178075243,0.001432022,0.001116818,1
1,0,0,0,0.270991729,0,0,1.270991729,2.542212064,25.15923443,292.1588296,-0.000228606,1.244531655,1.641071239,0.0011268,0.000879463,1
1,0,0,0,0.271220335,0,0,1.271220335,2.76346178,28.16362418,286.7470742,-0.22102111,1.245103166,1.640882014,0.00095901,0.000760412,1
1,0,0,0,0.27104896,0,0.221192485,1.492241445,5.763663475,33.94298362,280.8078962,-2.779180585,1.624159889,1.449615803,0.000962223,0.00073794,1
1,0,1,1,0.27142203,0,1,4.27142203,8.543163409,36.72195957,273.4108125,-0.000319349,-0.59922664,-1.236072405,0.000741677,0.00063405,1
1,0,1,1,0.271741379,0,1,4.271741379,5.546733697,34.90399538,263.6594143,2.996749061,-0.599544855,-1.329985466,0.000739243,0.000742172,1
1,0,0,0,0.271437844,0,0.003554474,1.274992318,5.546601818,33.08241874,257.0279695,-2.996617182,2.033610234,1.366697405,0.000627609,0.00069172,1
1,0,1,1,0.2716095,0,1,4.2716095,8.542821222,30.37597179,257.9400541,0.000397778,-0.963728303,-1.630309443,0.000616407,0.000732283,1
1,0,1,1,0.271211722,0,1,4.271211722,8.542639425,25.82908511,260.7839623,-0.000215981,-1.503898561,-1.652469985,0.000369177,0.000641065,1
1,0,1,1,0.271427703,0,1,4.271427703,6.725199219,23.04909581,264.3897457,1.817656187,-1.872923843,-1.652670938,0.000530707,0.000647941,1
1,0,0.421840391,0.364163587,0.271208298,0,0.39655924,2.453771516,3.72515706,20.93046098,270.2966625,1.182385972,-0.242456215,-0.070562568,0.000695481,0.000675593,1
1,0,0,0,0.271385544,0,0,1.271385544,2.840154866,19.74747906,276.1710348,-0.297383778,0.703391351,1.265706665,0.000795329,0.000725392,1
1,0,0,0,0.271334509,0,0.297434813,1.568769322,3.995934539,22.22444615,278.5515791,-0.858395895,0.405949595,1.268336713,0.000834567,0.000778131,1
1,0,0.539823409,0.615738545,0.271603263,0,0,2.427165217,5.762650123,26.54589991,278.2249573,-0.908319689,0.043005095,0.280161359,0.000826337,0.000843845,1
1,0,1,1,0.27110696,0,0.064377946,3.335484906,4.606564392,26.97056133,276.3571047,2.06440542,-0.496475237,-0.444734636,0.000432474,0.000720259,1
1,0,0,0,0.271079486,0,0,1.271079486,2.542175142,28.27255059,276.9111862,-1.62E-05,1.28402311,1.430827642,0.000485844,0.000758262,1
1,0,0,0,0.271095656,0,0,1.271095656,5.317121953,33.99450337,280.9613469,-2.774930641,1.828311866,1.534735602,0.000698244,0.045565407,1
1,0,1,1,0.271130384,0,0.774895913,4.046026297,8.317388298,33.21987996,282.5908419,-0.225335704,-0.346533145,-1.239604887,0.000800018,0.045281121,1
1,0,1,1,0.271362001,0,1,4.271362001,6.187311541,29.43486855,287.4723949,2.355412461,-1.326879162,-1.566012979,0.000940295,0.044864035,1
1,0,0.289953568,0.119581407,0.271019967,0,0.235394598,1.91594954,5.908553656,28.95601265,297.2828388,-2.076654576,1.026541331,0.789993027,0.000936208,0.044447122,1
1,0,1,1,0.27146455,0,0.721139566,3.992604116,8.264127923,26.80483326,305.5490885,-0.278919691,-1.143892457,-1.050481134,0.000813683,0.043698112,1
1,0,1,1,0.271523807,0,1,4.271523807,4.542498538,22.12802331,309.9421697,4.000549076,-1.759268813,-1.300892338,0.064233364,0.042954297,1
0,0,0,0,0.270974731,0,0,0.270974731,4.532376893,21.89782437,316.3401892,-3.990427431,1.642374936,2.533595969,0.062777394,0.04217332,1
1,0,1,1,0.271345132,0,0.99005703,4.261402162,5.708455641,24.67804734,321.3957518,2.814348683,-1.795186956,-1.066047129,0.060317027,0.040948232,1
1,0,0.077180917,0,0.271454958,0,0.098417604,1.447053479,3.757374269,27.52464284,320.7691378,-0.863267311,1.022340783,1.74992747,0.057626475,0.039670586,1
0,1,0,0,0.31032079,1,0,2.31032079,3.587317965,32.32271125,316.3183034,1.033323615,0.725213515,0.967388775,0.047494172,0.033557447,0
1,0,0,0,0.276997175,0,0,1.276997175,4.312299599,35.62399838,310.0926543,-1.758305249,2.152010769,1.797355827,0.001107859,0.00130346,1
1,0,0.660533574,0.592403721,0.277432744,0,0.504932385,3.035302424,7.312599867,38.10143297,301.9033662,-1.241995019,0.660489309,0.305348699,0.000677753,0.001420163,1
